Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECC10	ECC10	2	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC10	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC10	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC10	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC10	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC10	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC3	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC3	2	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC3	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC3	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC3	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC3	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC6	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC6	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC6	2	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC6	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC6	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC6	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC7	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC7	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC7	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC7	2	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC7	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC7	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC8	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC8	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC8	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC8	1	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC8	1	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC8	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC9	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC3	ECC9	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC6	ECC9	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC7	ECC9	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC8	ECC9	0	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC9	ECC9	2	m1	1	Egg	2	2	0.898780487804878	0.922626920459189	0.493309523809524	0.257581772941994
ECC10	ECC10	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC10	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC10	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC10	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC10	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC10	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC3	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC3	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC3	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC3	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC3	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC3	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC6	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC6	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC6	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC6	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC6	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC6	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC7	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC7	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC7	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC7	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC7	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC7	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC8	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC8	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC8	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC8	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC8	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC8	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC9	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC3	ECC9	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC6	ECC9	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC7	ECC9	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC8	ECC9	0	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC9	ECC9	2	m2	1	Egg	2	2	0.97479674796748	0.394688204794576	0.5065	0.246944231402801
ECC10	ECC10	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC3	ECC10	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC6	ECC10	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC7	ECC10	2	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC8	ECC10	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC9	ECC10	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC10	ECC3	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC3	ECC3	2	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC6	ECC3	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC7	ECC3	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC8	ECC3	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC9	ECC3	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
ECC10	ECC6	0	m3	1	Egg	2	2	0.731395348837209	1.60332314991271	0.144166666666667	0.156156397328086
